osmid,x,y,nearest_pharmacy_m
1137829980,10.8623811,48.3361497,1022.521337768126
1137830009,10.860989,48.337309,908.1774617231764
1137997353,10.953977,48.3450654,1544.7081680218776
1137997354,10.9528027,48.3448716,1641.0861255785826
1137997358,10.9515441,48.3464894,1749.010358757349
1137997363,10.9519124,48.3464663,1718.8523589186652
1137997401,10.952662,48.3464554,1663.4414143362833
1137997407,10.9538697,48.3455513,1490.098602686698
1137997412,10.9540559,48.3455617,1476.289105878479
1137997414,10.9535673,48.3457618,1533.4273115590415
1137997417,10.9527819,48.3457184,1591.6718158039148
1137997429,10.9536022,48.3455512,1509.868013784297
1137997436,10.9520582,48.3456937,1645.2266805376303
1138056390,10.901105,48.3414432,286.78803249788734
1138056422,10.901401,48.340998,247.54113681412173
1138056427,10.9008654,48.3411808,283.53891187288696
1138056475,10.900638,48.3413056,315.04514138516373
1138692300,10.9477795,48.3446101,486.987653210189
1138692302,10.948097,48.3445741,504.8882292500447
1138863171,10.8973881,48.3083592,724.26565440042
1138863173,10.8974921,48.3083576,716.3533333811667
1138863184,10.8973819,48.3082534,712.4922816685624
1138863192,10.897763,48.3085359,750.2141408629063
1138863194,10.8975416,48.3085423,733.8243888146266
1138863196,10.8975295,48.3083489,712.3006480795256
1138863199,10.8975482,48.3082399,700.1017321974603
1138863223,10.8975162,48.3085817,739.3140517356684
1138863224,10.8975364,48.3087363,756.5696046556458
1138863252,10.8970153,48.3086344,779.5520940845006
1138863258,10.8970259,48.3087942,794.872154425426
1138863288,10.8980002,48.3085513,808.7653186146308
1138863310,10.898005,48.3085281,639.1697318279851
1138863322,10.8981171,48.3085264,630.8768866432121
1138869806,10.9428819,48.3480644,744.4315131712654
1138869845,10.9428646,48.3474054,671.142800796895
1138869880,10.9439021,48.34806,669.0443224755825
1138869944,10.9439011,48.3474384,599.9254189262194
1138870025,10.9433875,48.3480666,702.9713597801314
1138958245,10.9435905,48.3451082,360.57262565477663
1138958247,10.9440401,48.3451178,327.327739241348
1138958249,10.9435673,48.3444498,159.88053804186742
1139129959,10.9398234,48.3506289,883.9403658475846
1139130102,10.9393454,48.3506712,848.3058515152444
1139130255,10.938768,48.3505082,884.5965757402317
1139130327,10.9401948,48.3509497,771.1911088610032
1139130366,10.938672,48.3507279,859.1539942358878
1139130717,10.9393958,48.3507395,839.847159000908
1139291731,10.8902409,48.3127285,458.3533069263973
1139291734,10.8901769,48.3123889,494.774932524608
1139376081,10.8797301,48.3904871,151.45213534421669
1139376085,10.8797512,48.3909026,197.7046743992303
1139376089,10.8797367,48.3907581,181.59713794882825
1139560291,10.8672516,48.3857759,759.762670320202
1139560299,10.8671344,48.3857305,769.7821325836372
1139560303,10.8608308,48.3863767,1241.3076820994545
1139560304,10.8615396,48.3859964,1199.5285016416074
1139560336,10.8626162,48.3863261,1097.296678905957
1139560361,10.866805,48.3855234,803.2786147984842
1139560383,10.8623317,48.3861702,1127.8129629832797
1139560395,10.8667177,48.3854748,811.6908185854383
1139560425,10.8662718,48.3853217,853.8066216174541
1139560450,10.8629978,48.3859891,1089.6486395299528
