osmid,x,y,nearest_pharmacy_m,accessibility_band
256093877,10.946712,48.2851677,7659.934696570097,> 1500 m
256093888,10.9439654,48.2810803,8160.917302934125,> 1500 m
256098384,10.9481412,48.2980474,6097.955793213117,> 1500 m
256297336,10.9453414,48.3938898,2069.101869808935,> 1500 m
256297342,10.9328079,48.3929313,1723.8904578965196,> 1500 m
256297352,10.9358887,48.3938685,1843.5845998337988,> 1500 m
256297354,10.9345952,48.3963668,1867.7882739584647,> 1500 m
256297355,10.9338076,48.3977688,1816.4761812183008,> 1500 m
256297357,10.9333122,48.3985943,1717.6506646019377,> 1500 m
256297358,10.932185,48.4007756,1871.37027245266,> 1500 m
256297360,10.9321183,48.4008897,1871.6775989029743,> 1500 m
256297363,10.9398969,48.3978379,2292.478969420613,> 1500 m
256297365,10.937211,48.3970311,2074.8204660114766,> 1500 m
256297368,10.9327548,48.3959612,1724.620501428279,> 1500 m
256297373,10.9363309,48.3984695,2017.1879459853071,> 1500 m
256297382,10.9414084,48.3955939,2225.6279292046406,> 1500 m
256297383,10.9432132,48.3927773,1869.04560140532,> 1500 m
256297390,10.9415837,48.395351,2179.921605249989,> 1500 m
256297393,10.9383595,48.3945478,2041.194973551132,> 1500 m
256297394,10.9413037,48.3954146,2204.3284000642325,> 1500 m
256297410,10.931338,48.4006046,1805.8929794705928,> 1500 m
256297413,10.9371035,48.4022716,2271.4785159395938,> 1500 m
256297416,10.9349999,48.4015892,2098.1275633736427,> 1500 m
256297419,10.9307592,48.3980448,1519.509572811916,> 1500 m
256297431,10.9416743,48.3955248,2202.3428446311486,> 1500 m
256999985,10.9352411,48.4109402,3205.785685029304,> 1500 m
256999987,10.9344056,48.4119323,3079.3952342272896,> 1500 m
256999988,10.9341903,48.4122011,3045.544313484424,> 1500 m
256999991,10.9335667,48.4129156,2953.278785672315,> 1500 m
256999994,10.9307822,48.4130633,2746.559344037625,> 1500 m
256999995,10.9280125,48.4131801,2541.7259168523947,> 1500 m
256999996,10.9262231,48.4132649,2409.319442185466,> 1500 m
256999999,10.9245354,48.4133628,2288.7945248868964,> 1500 m
257000018,10.9261053,48.4130953,2413.15547178436,> 1500 m
257000021,10.9245901,48.4131727,2300.9935267666465,> 1500 m
257000022,10.9280489,48.4130378,2557.788413859804,> 1500 m
257000023,10.9281986,48.4128315,2583.25014320986,> 1500 m
257000024,10.9283328,48.4126244,2608.318420968961,> 1500 m
257000026,10.9305414,48.4127389,2756.4709540227195,> 1500 m
257000027,10.9306893,48.4129148,2753.146438702064,> 1500 m
257000044,10.9350243,48.4108635,3220.855584049468,> 1500 m
257000045,10.9342204,48.4118578,3095.378779411408,> 1500 m
257406643,10.9055393,48.2775092,3032.314246254832,> 1500 m
257406683,10.909526,48.2725126,3624.168545543661,> 1500 m
257406685,10.908753,48.2724181,3597.738187717899,> 1500 m
257406690,10.907693,48.2722086,3639.577890568375,> 1500 m
258077644,10.956713,48.3826365,2159.2381600826147,> 1500 m
258803234,10.9512051,48.3219888,2841.8375026303715,> 1500 m
258842205,10.91952,48.3377873,1607.0252697236765,> 1500 m
258842210,10.926471,48.3353281,2154.8097689211622,> 1500 m
258842215,10.928601,48.3337835,2360.3227427863994,> 1500 m
258842224,10.9276072,48.3282159,2373.243613606494,> 1500 m
258842229,10.9267459,48.3259697,2331.470172427126,> 1500 m
258842231,10.9267094,48.3252432,2348.5263842036343,> 1500 m
259142657,10.9560181,48.3380639,1616.2530723675682,> 1500 m
259142726,10.9544167,48.3443871,1560.709264978071,> 1500 m
259705503,10.8487292,48.3188173,1630.3143741346062,> 1500 m
260037178,10.8770676,48.3301143,1716.3310594086204,> 1500 m
260037179,10.8776725,48.3307175,1656.324814738743,> 1500 m
260037181,10.8790671,48.3309044,1662.3668686584654,> 1500 m
260037182,10.8793566,48.3308897,1683.8306499184828,> 1500 m
260037184,10.8797133,48.330807,1713.141442519371,> 1500 m
260037191,10.8769388,48.3283318,1747.2460781360885,> 1500 m
260037193,10.876731,48.3283958,1728.1589127705474,> 1500 m
260037194,10.876017,48.3290678,1636.6216890443573,> 1500 m
260192423,10.9298373,48.3390312,1664.1023609712547,> 1500 m
260199793,10.8794942,48.3314787,1634.168214827468,> 1500 m
260199796,10.8779026,48.3309455,1631.3907071879237,> 1500 m
260202046,10.8753884,48.3304254,1554.2824611717083,> 1500 m
260346716,10.9379485,48.289054,3654.049742034107,> 1500 m
260346718,10.9383454,48.2851034,4043.974383537091,> 1500 m
260346898,10.9372895,48.2944059,3240.6978777369022,> 1500 m
260347246,10.9330231,48.2985811,2852.7638821668197,> 1500 m
260347271,10.9335379,48.3050235,2115.717293628059,> 1500 m
260347446,10.935296,48.308122,2495.907697343657,> 1500 m
260347754,10.9340884,48.3039591,2265.774844126487,> 1500 m
260347759,10.9341926,48.3049226,2165.4461193360366,> 1500 m
260347781,10.9326631,48.2998382,2705.471670475857,> 1500 m
260347927,10.934919,48.3211398,2844.1813364312693,> 1500 m
260347929,10.9306188,48.3109501,2021.837691212647,> 1500 m
260347930,10.9319981,48.3141957,2396.870475086132,> 1500 m
260347940,10.9357516,48.3230039,3060.455775688938,> 1500 m
260348070,10.9358689,48.3235615,3123.297489208952,> 1500 m
260348075,10.9365275,48.3247492,3186.5991106169777,> 1500 m
260348078,10.9361866,48.3252499,3124.960844861825,> 1500 m
260348085,10.935313,48.3262333,2997.9425645101896,> 1500 m
260348089,10.9333562,48.3266471,2845.7246963157645,> 1500 m
260348093,10.9327556,48.3267703,2799.239093352832,> 1500 m
260348111,10.9289962,48.3302685,2623.7824779763464,> 1500 m
260348227,10.9293396,48.3308392,2580.7068029747475,> 1500 m
260351930,10.9343691,48.2770239,4521.761375661643,> 1500 m
260351938,10.9258966,48.276059,3885.6154853002513,> 1500 m
260352355,10.926286,48.301014,2217.02467709289,> 1500 m
260352437,10.9325136,48.3012874,2539.0392831419244,> 1500 m
260352680,10.9387153,48.3042629,2508.140177445262,> 1500 m
260352688,10.9284123,48.3058353,1725.9527752927945,> 1500 m
260353100,10.94184,48.3140745,3148.6728372173075,> 1500 m
260353104,10.9425656,48.3140776,3211.7043739479063,> 1500 m
260353183,10.9429021,48.3170343,3225.6788547519404,> 1500 m
260983116,10.9079432,48.2740709,3391.00635176744,> 1500 m
260983121,10.9095229,48.2726841,3604.6080966414056,> 1500 m
260983129,10.9111377,48.2714667,3539.987697212621,> 1500 m
260983130,10.9113537,48.271715,3507.653826012456,> 1500 m
260983132,10.9114636,48.2713315,3551.7419798963024,> 1500 m
260983138,10.9136758,48.2707477,3655.8423825342384,> 1500 m
260983139,10.913912,48.2709267,3629.153039030561,> 1500 m
260983151,10.9131537,48.2757871,3063.509928732054,> 1500 m
260983159,10.9134941,48.2782896,2777.995807062275,> 1500 m
260983160,10.9133485,48.2790549,2692.0465475689384,> 1500 m
262093642,10.9277535,48.2930374,2696.28476550865,> 1500 m
262093645,10.932229,48.2921444,3041.9753729239187,> 1500 m
262093649,10.9320292,48.2961094,2807.8539794657354,> 1500 m
262093772,10.9272904,48.2852977,3225.5056760082957,> 1500 m
262093775,10.9332765,48.2851161,3668.9140883695673,> 1500 m
262093809,10.9335892,48.2825507,3955.110790601637,> 1500 m
262093812,10.9353561,48.2826207,4086.0850639478185,> 1500 m
262093815,10.9385773,48.2827817,4302.708068708836,> 1500 m
262148397,10.8800961,48.3171304,1521.8641965728996,> 1500 m
262873919,10.8888182,48.3256371,1594.5843508146045,> 1500 m
263687467,10.8231785,48.3416572,4153.692453941672,> 1500 m
263687492,10.8078247,48.329777,5121.378833655576,> 1500 m
263687513,10.8034949,48.3345955,5127.252297206879,> 1500 m
263687522,10.8101675,48.3420714,5128.613090031023,> 1500 m
263756389,10.8287128,48.3206081,3709.5633664764086,> 1500 m
263756392,10.8272066,48.3185415,3453.788382220542,> 1500 m
263756395,10.8253187,48.3195397,3632.225319199759,> 1500 m
